nazev,typ,datum,popis_kratky,popis_dlouhy,lat,lon,foto1,foto2
Ferraty u Vírské přehrady,ferrata,22.10.2023,Tři kratší ferraty u přehrady Vír,"Kratší ferraty, výbava se dá půjčit kousek od začátku ferraty nalevo od přehrady. Ferraty jsou nalevo I napravo od hráze, dá se udělat pěkné kolečko a projít všechny.",49.5585189,16.3090964,Ferrata/prehrada_Vir.jpeg,NA
Velká Dohoda,ferrata,29.10.2023,Bývalý lom přestavěný na ferraty,"Velmi dobrý cvičný ferratový park v Moravském krasu. Příjezdová cesta je rozbitá, parkování bez problému. Možnost zapůjčení vybavení, platí se za vstup na ferraty na celý den. Ferraty jsou krátké a různých obtížností, také dlouhý lanový most a další atrakce pro děti.",49.3957231,16.7770075,Ferrata/Velka_Dohoda.jpeg,NA
Skalka,ferrata,21.06.2024,Ferratový park na celý den,"Mnoho ferrat rozdělených na dvě oblasti. Různé náročnosti, zábavné, parkování za poplatek, možnost půjčení vybavení.",48.7412711,18.9837931,Ferrata/Skalka.jpeg,NA
Chata pod Chlebom,hut,07.08.2024,Moderní chata na Malé Fatře,"Chata na Malé Fatře, možnost sprchy zdarma. Společná ložnice velká a zrekontruovaná, oddělená příčkami po dvou.",49.1811153,19.0492106,Hut/Pod_Chlebom.jpeg,NA
Zoborské ferraty,ferrata,28.08.2024,Ferraty pod Zoborom,Kratší ferraty vhodné pro vyzkoušení nebo rozlezení. Nástup hodně do kopce.,48.3424108,18.1056544,Ferrata/Zobor.jpeg,NA
Ferraty Zvolen,ferrata,07.06.2025,Jednoduché ferraty u Zvolena,"Větší množství kratších ferrat převážně v lese. Nástup relativně kousek, ferraty jsou dost u sebe, jednoduché, velké množství kramlí.",48.5539833,19.0835217,Ferrata/Zvolen.jpeg,NA
,,,,,,,,NA
,,,,,,,,NA
,,,,,,,,NA
,,,,,,,,NA
,,,,,,,,NA
,,,,,,,,NA
Grossglockner,,,,,,,,NA
